Jurisdiction,State,Land Area,Population,Population Density,PD Rank,Cases,Deaths,Score
Monroe,Georgia,395.66,27578.00,69.70,1176,2527,97,3497
Peach,Georgia,150.27,27546.00,183.31,584,2514,52,3034
Elmore,Idaho,3074.74,27511.00,8.95,2610,1662,13,1792
De Soto,Louisiana,875.58,27463.00,31.37,1885,2687,75,3437
White,Tennessee,376.67,27345.00,72.60,1143,3442,67,4112
Union,South Carolina,514.17,27316.00,53.13,1406,2781,81,3591
San Miguel,New Mexico,5513.07,27277.00,4.95,2776,1309,13,1439
Fluvanna,Virginia,286.01,27270.00,95.35,926,1451,17,1621
Edgefield,South Carolina,500.41,27260.00,54.48,1377,2924,40,3324
Ashe,North Carolina,426.14,27203.00,63.84,1253,1923,40,2323
Montgomery,North Carolina,491.76,27173.00,55.26,1363,3168,89,4058
Iroquois,Illinois,1117.32,27114.00,24.27,2086,2813,65,3463
Logan,Kentucky,552.13,27102.00,49.09,1471,2603,57,3173
Orleans,Vermont,693.27,27037.00,39.00,1688,740,7,810
Tillamook,Oregon,1102.58,27036.00,24.52,2079,465,2,485
Henry,Ohio,416.01,27006.00,64.92,1235,2528,64,3168
Grant,New Mexico,3961.63,26998.00,6.81,2701,1589,35,1939
Gillespie,Texas,1058.21,26988.00,25.50,2046,2480,48,2960
Hardee,Florida,637.78,26937.00,42.24,1614,2872,37,3242
Carroll,Ohio,394.61,26914.00,68.20,1196,1846,46,2306
Mineral,West Virginia,327.83,26868.00,81.96,1034,2614,80,3414
King George,Virginia,179.64,26836.00,149.39,672,1483,17,1653
Union,Oregon,2036.61,26835.00,13.18,2461,1346,20,1546
Toombs,Georgia,364.01,26830.00,73.71,1127,3282,107,4352
Carter,Kentucky,409.50,26797.00,65.44,1228,2109,30,2409
Wyoming,Pennsylvania,397.32,26794.00,67.44,1203,1275,42,1695
Uvalde,Texas,1551.95,26741.00,17.23,2333,3476,68,4156
Woodford,Kentucky,188.78,26734.00,141.61,701,2048,16,2208
Elbert,Colorado,2126.80,26729.00,12.57,2477,1368,12,1488
Juneau,Wisconsin,766.93,26687.00,34.80,1807,3137,22,3357
Wasco,Oregon,2381.52,26682.00,11.20,2533,1236,27,1506
Cibola,New Mexico,4539.48,26675.00,5.88,2739,3452,106,4512
Simpson,Mississippi,589.16,26658.00,45.25,1559,2826,83,3656
Russell,Virginia,473.82,26586.00,56.11,1349,2099,35,2449
Johnson,Arkansas,659.80,26578.00,40.28,1667,2859,36,3219
Decatur,Indiana,372.57,26559.00,71.29,1159,2794,96,3754
Mason,West Virginia,305.43,26516.00,86.82,1000,1828,40,2228
Oceana,Michigan,512.07,26467.00,51.69,1423,1931,50,2431
West Baton Rouge,Louisiana,192.39,26465.00,137.56,718,2600,56,3160
Grayson,Kentucky,496.70,26427.00,53.21,1401,2022,49,2512
Decatur,Georgia,597.14,26404.00,44.22,1585,2821,66,3481
Upson,Georgia,323.44,26320.00,81.38,1039,3325,120,4525
Lewis,New York,1274.68,26296.00,20.63,2223,2200,33,2530
Mille Lacs,Minnesota,572.31,26277.00,45.91,1544,2403,47,2873
Geneva,Alabama,574.41,26271.00,45.74,1549,2426,71,3136
Cass,Nebraska,557.45,26248.00,47.09,1518,2396,15,2546
Boone,Iowa,571.57,26234.00,45.90,1545,2485,30,2785
Clay,Indiana,357.54,26225.00,73.35,1137,2445,44,2885
Hart,Georgia,232.39,26205.00,112.76,807,2319,50,2819
Cherokee,Alabama,553.70,26196.00,47.31,1512,1793,42,2213
Fannin,Georgia,386.72,26188.00,67.72,1200,2243,61,2853
Montezuma,Colorado,2029.53,26183.00,12.90,2468,1770,23,2000
Charlevoix,Michigan,416.34,26143.00,62.79,1267,1359,13,1489
Marlboro,South Carolina,489.23,26118.00,53.39,1396,3103,51,3613
Dawson,Georgia,210.83,26108.00,123.83,764,2908,37,3278
Bell,Kentucky,359.00,26032.00,72.51,1145,2891,44,3331
Harlan,Kentucky,465.83,26010.00,55.84,1351,2480,77,3250
Stephens,Georgia,179.13,25925.00,144.73,684,3045,74,3785
Lawrence,South Dakota,800.04,25844.00,32.30,1855,2879,45,3329
Barton,Kansas,895.40,25779.00,28.79,1963,2584,21,2794
Taylor,Kentucky,266.33,25769.00,96.76,908,2911,37,3281
Perry,Kentucky,339.67,25758.00,75.83,1104,2460,53,2990
McNairy,Tennessee,613.14,25694.00,41.91,1627,2716,53,3246
Hardin,Tennessee,577.32,25652.00,44.43,1581,3358,64,3998
Benton,Iowa,716.27,25645.00,35.80,1780,2451,54,2991
Routt,Colorado,2362.03,25638.00,10.85,2541,2019,19,2209
Lauderdale,Tennessee,471.99,25633.00,54.31,1381,3105,44,3545
Allen,Louisiana,761.85,25627.00,33.64,1830,3036,90,3936
Miller,Missouri,592.60,25619.00,43.23,1599,2497,51,3007
Somerset,Maryland,319.72,25616.00,80.12,1050,2443,35,2793
Franklin,Kansas,571.76,25544.00,44.68,1577,2483,39,2873
Lyon,Minnesota,714.56,25474.00,35.65,1786,3219,46,3679
Washington,Florida,582.80,25473.00,43.71,1592,2650,48,3130
Gladwin,Michigan,501.78,25449.00,50.72,1440,1533,43,1963
Posey,Indiana,409.57,25427.00,62.08,1276,2644,32,2964
Texas,Missouri,1177.27,25398.00,21.57,2185,1813,22,2033
Teller,Colorado,557.06,25388.00,45.57,1552,1364,14,1504
Audrain,Missouri,692.24,25388.00,36.68,1754,2744,57,3314
Lamoille,Vermont,458.80,25362.00,55.28,1362,602,2,622
Fayette,Texas,950.01,25346.00,26.68,2021,2434,56,2994
Adair,Missouri,567.32,25343.00,44.67,1578,2363,20,2563
Salem city,Virginia,14.44,25301.00,1752.15,76,1943,44,2383
Tattnall,Georgia,479.40,25286.00,52.75,1410,2252,62,2872
Cheboygan,Michigan,715.26,25276.00,35.34,1793,1166,38,1546
Shelby,Texas,795.58,25274.00,31.77,1875,1575,63,2205
Dickinson,Michigan,761.40,25239.00,33.15,1844,2402,71,3112
Hickman,Tennessee,612.50,25178.00,41.11,1643,2723,43,3153
Plymouth,Iowa,862.89,25177.00,29.18,1948,3776,79,4566
Iosco,Michigan,549.10,25127.00,45.76,1548,1308,67,1978
Prentiss,Mississippi,414.98,25126.00,60.55,1293,2732,58,3312
Sunflower,Mississippi,697.75,25110.00,35.99,1774,3247,88,4127
Grant,Kentucky,257.97,25069.00,97.18,905,2308,14,2448
Bremer,Iowa,435.48,25062.00,57.55,1332,2740,57,3310
Hardeman,Tennessee,667.77,25050.00,37.51,1732,3412,63,4042
Brown,Minnesota,611.09,25008.00,40.92,1651,2633,39,3023
St. Francis,Arkansas,634.77,24994.00,39.37,1682,3491,39,3881
Butts,Georgia,184.39,24936.00,135.24,729,2787,77,3557
Staunton city,Virginia,19.98,24932.00,1247.85,122,2505,66,3165
Cleburne,Arkansas,553.69,24919.00,45.01,1567,1928,69,2618
Yates,New York,338.14,24913.00,73.68,1128,1040,26,1300
Churchill,Nevada,4930.46,24909.00,5.05,2773,1948,49,2438
Morehouse,Louisiana,794.93,24874.00,31.29,1891,2733,71,3443
Milam,Texas,1016.93,24823.00,24.41,2084,2401,44,2841
Chattooga,Georgia,313.34,24789.00,79.11,1059,2672,67,3342
Juniata,Pennsylvania,391.35,24763.00,63.28,1262,1871,81,2681
Randolph,Missouri,482.68,24748.00,51.27,1430,2629,30,2929
Washington,Missouri,759.91,24730.00,32.54,1849,2718,48,3198
Barbour,Alabama,884.88,24686.00,27.90,1990,2212,54,2752
Otsego,Michigan,514.97,24668.00,47.90,1496,1664,28,1944
Randolph,Indiana,452.38,24665.00,54.52,1375,2322,78,3102
Todd,Minnesota,944.98,24664.00,26.10,2033,2548,30,2848
Jefferson,Oregon,1780.79,24658.00,13.85,2434,2001,31,2311
Grady,Georgia,454.53,24633.00,54.19,1385,2050,57,2620
Macon,Tennessee,430.13,24602.00,57.20,1338,3420,74,4160
Marion,Mississippi,542.38,24573.00,45.31,1557,2631,78,3411
Manistee,Michigan,542.15,24558.00,45.30,1558,1589,23,1819
Lincoln,Kentucky,334.10,24549.00,73.48,1135,2165,40,2565
Jackson,Oklahoma,802.65,24530.00,30.56,1911,2973,46,3433
Abbeville,South Carolina,490.48,24527.00,50.01,1451,2359,36,2719
Union,Georgia,321.93,24511.00,76.14,1097,2132,68,2812
George,Mississippi,478.71,24500.00,51.18,1432,2355,45,2805
Nicholas,West Virginia,646.82,24496.00,37.87,1723,1309,15,1459
Rowan,Kentucky,279.80,24460.00,87.42,994,2058,17,2228
Anson,North Carolina,531.45,24446.00,46.00,1541,2399,53,2929
Waushara,Wisconsin,626.15,24443.00,39.04,1687,2427,35,2777
Jerome,Idaho,597.19,24412.00,40.88,1653,2529,22,2749
Crook,Oregon,2979.09,24404.00,8.19,2643,796,18,976
Pottawatomie,Kansas,841.02,24383.00,28.99,1953,1802,27,2072
Seminole,Oklahoma,632.84,24258.00,38.33,1708,2786,43,3216
Upshur,West Virginia,354.64,24176.00,68.17,1199,1737,31,2047
White,Indiana,505.13,24102.00,47.71,1499,3015,55,3565
Cassia,Idaho,2565.08,24030.00,9.37,2593,2886,25,3136
Roscommon,Michigan,519.64,24019.00,46.22,1535,1345,37,1715
Fairfax city,Virginia,6.24,24019.00,3849.20,25,508,17,678
Ohio,Kentucky,587.27,23994.00,40.86,1655,2421,51,2931
Payette,Idaho,406.87,23951.00,58.87,1318,2419,32,2739
Crawford,Missouri,742.52,23920.00,32.21,1858,2411,34,2751
Page,Virginia,310.86,23902.00,76.89,1086,1879,57,2449
Sabine,Louisiana,866.66,23884.00,27.56,1999,2814,56,3374
Scott,Indiana,190.40,23873.00,125.38,759,2551,54,3091
Goochland,Virginia,281.42,23753.00,84.40,1013,1274,20,1474
Luna,New Mexico,2965.19,23709.00,8.00,2650,3182,84,4022
Iowa,Wisconsin,762.58,23678.00,31.05,1898,2023,11,2133
Hertford,North Carolina,353.06,23677.00,67.06,1209,1987,63,2617
Winston,Alabama,612.98,23629.00,38.55,1704,2702,71,3412
Clarke,Alabama,1238.47,23622.00,19.07,2277,3473,57,4043
Dawson,Nebraska,1013.10,23595.00,23.29,2118,2823,31,3133
Poinsett,Arkansas,758.39,23528.00,31.02,1900,3104,76,3864
Aransas,Texas,252.07,23510.00,93.27,941,1171,35,1521
Saline,Illinois,379.82,23491.00,61.85,1279,2384,65,3034
Teton,Wyoming,3995.38,23464.00,5.87,2740,3510,9,3600
Osceola,Michigan,566.39,23460.00,41.42,1636,1173,23,1403
Columbia,Arkansas,766.05,23457.00,30.62,1907,2301,55,2851
Limestone,Texas,905.29,23437.00,25.89,2039,2667,69,3357
Mingo,West Virginia,423.11,23424.00,55.36,1360,2234,36,2594
Lee,Virginia,435.52,23423.00,53.78,1391,2346,44,2786
Itawamba,Mississippi,532.79,23390.00,43.90,1588,2930,76,3690
Ouachita,Arkansas,732.78,23382.00,31.91,1871,2271,59,2861
Hood River,Oregon,521.95,23382.00,44.80,1573,1075,29,1365
Franklin,Georgia,261.50,23349.00,89.29,976,2602,46,3062
Antrim,Michigan,475.70,23324.00,49.03,1473,1282,20,1482
Grainger,Tennessee,280.60,23320.00,83.11,1023,2489,47,2959
Meeker,Minnesota,608.18,23222.00,38.18,1714,2122,35,2472
Plaquemines,Louisiana,779.91,23197.00,29.74,1933,2416,25,2666
Panola,Texas,801.75,23194.00,28.93,1956,1557,73,2287
Hampshire,West Virginia,640.25,23175.00,36.20,1767,1582,32,1902
Bandera,Texas,790.96,23112.00,29.22,1946,1308,27,1578
Fayette,Indiana,215.01,23102.00,107.45,842,2876,61,3486
New Kent,Virginia,209.73,23091.00,110.10,824,1320,13,1450
Blaine,Idaho,2643.59,23021.00,8.71,2620,2220,17,2390
Hockley,Texas,908.39,23021.00,25.34,2049,2363,100,3363
Ray,Missouri,568.81,23018.00,40.47,1661,1910,26,2170
Starke,Indiana,309.13,22995.00,74.39,1124,1918,54,2458
Houston,Texas,1230.91,22968.00,18.66,2291,1583,47,2053
Curry,Oregon,1627.46,22925.00,14.09,2428,514,8,594
Meigs,Ohio,430.10,22907.00,53.26,1399,1367,36,1727
McDonald,Missouri,436.92,22837.00,52.27,1420,2489,31,2799
Sumner,Kansas,1181.94,22836.00,19.32,2269,2097,27,2367
Yankton,South Dakota,521.16,22814.00,43.78,1590,2868,28,3148
Prince Edward,Virginia,349.96,22802.00,65.16,1230,1996,31,2306
Leake,Mississippi,583.00,22786.00,39.08,1686,2578,72,3298
Menominee,Michigan,1044.08,22780.00,21.82,2176,1906,40,2306
Saline,Missouri,755.50,22761.00,30.13,1922,2877,39,3267
Franklin,Indiana,384.43,22758.00,59.20,1311,1637,36,1997
Anderson,Kentucky,201.83,22747.00,112.70,808,1669,17,1839
Randolph,Alabama,580.55,22722.00,39.14,1685,1730,41,2140
Emanuel,Georgia,680.60,22646.00,33.27,1839,2510,79,3300
Waynesboro city,Virginia,15.04,22630.00,1504.65,98,2206,34,2546
Caswell,North Carolina,424.92,22604.00,53.20,1402,2041,25,2291
Asotin,Washington,636.21,22582.00,35.49,1787,1320,28,1600
Rockbridge,Virginia,597.56,22573.00,37.78,1726,1431,44,1871
Hopewell city,Virginia,10.28,22529.00,2191.54,57,2267,64,2907
Pacific,Washington,932.66,22471.00,24.09,2092,777,10,877
Martin,North Carolina,449.57,22440.00,49.91,1454,2122,37,2492
Klickitat,Washington,1871.31,22425.00,11.98,2505,676,9,766
Logan,Colorado,1838.55,22409.00,12.19,2502,3782,65,4432
Bibb,Alabama,622.58,22394.00,35.97,1775,2528,58,3108
Grant,Louisiana,643.03,22389.00,34.82,1804,2035,52,2555
Burke,Georgia,826.97,22383.00,27.07,2013,2459,55,3009
Crisp,Georgia,272.58,22372.00,82.07,1033,2006,69,2696
Fairfield,South Carolina,686.28,22347.00,32.56,1848,2221,77,2991
Clark,Arkansas,866.07,22320.00,25.77,2041,2070,40,2470
Overton,Tennessee,433.48,22241.00,51.31,1428,2899,58,3479
Vilas,Wisconsin,856.60,22195.00,25.91,2038,2314,40,2714
Adair,Oklahoma,573.48,22194.00,38.70,1699,3145,26,3405
Johnson,Kentucky,261.95,22188.00,84.70,1012,1839,24,2079
Coahoma,Mississippi,552.44,22124.00,40.05,1674,2867,73,3597
Putnam,Georgia,344.64,22119.00,64.18,1245,2107,52,2627
Union,Louisiana,876.99,22108.00,25.21,2054,2318,77,3088
Mahaska,Iowa,570.86,22095.00,38.70,1698,2179,47,2649
Nodaway,Missouri,876.96,22092.00,25.19,2055,2635,25,2885
Scott,Tennessee,532.30,22068.00,41.46,1635,2937,44,3377
Tippah,Mississippi,457.82,22015.00,48.09,1493,2824,68,3504
Washington,Iowa,568.84,21965.00,38.61,1701,2418,48,2898
Brooke,West Virginia,89.21,21939.00,245.93,478,2048,60,2648
Mercer,Kentucky,248.80,21933.00,88.16,989,2418,41,2828
Assumption,Louisiana,338.66,21891.00,64.64,1240,2121,34,2461
Gray,Texas,925.97,21886.00,23.64,2107,2015,54,2555
Mitchell,Georgia,512.09,21863.00,42.69,1609,1984,76,2744
Beckham,Oklahoma,901.81,21859.00,24.24,2088,2819,39,3209
Henry,Missouri,696.95,21824.00,31.31,1890,1991,38,2371
Llano,Texas,934.03,21795.00,23.33,2117,1577,49,2067
Jersey,Illinois,369.27,21773.00,58.96,1314,2525,67,3195
Wyandot,Ohio,406.87,21772.00,53.51,1395,2182,51,2692
Leelanau,Michigan,347.17,21761.00,62.68,1270,946,15,1096
Madison,North Carolina,515.56,21755.00,42.20,1617,1424,40,1824
Pointe Coupee,Louisiana,557.35,21730.00,38.99,1690,2418,70,3118
Tyler,Texas,924.50,21672.00,23.44,2113,1240,36,1600
Shelby,Illinois,758.52,21634.00,28.52,1970,2195,38,2575
Nobles,Minnesota,715.11,21629.00,30.25,1918,3896,47,4366
Wabasha,Minnesota,522.98,21627.00,41.35,1638,1919,3,1949
Sevier,Utah,1910.58,21620.00,11.32,2528,2098,12,2218
Saunders,Nebraska,750.23,21578.00,28.76,1964,2363,14,2503
Taylor,Florida,1043.31,21569.00,20.67,2221,2688,43,3118
Scott,Virginia,535.53,21566.00,40.27,1670,1660,50,2160
Letcher,Kentucky,337.91,21553.00,63.78,1256,1751,36,2111
Colusa,California,1150.73,21547.00,18.72,2286,2156,15,2306
Hempstead,Arkansas,727.52,21532.00,29.60,1936,1957,18,2137
Gage,Nebraska,851.49,21513.00,25.27,2051,2123,19,2313
Colorado,Texas,960.27,21493.00,22.38,2161,1610,25,1860
Gaines,Texas,1502.38,21492.00,14.31,2421,1416,42,1836
Hubbard,Minnesota,925.68,21491.00,23.22,2122,1622,41,2032
Logan,Arkansas,708.13,21466.00,30.31,1916,2203,21,2413
Boone,West Virginia,501.54,21457.00,42.78,1607,1688,36,2048
Seward,Kansas,639.50,21428.00,33.51,1834,3918,33,4248
Lampasas,Texas,1486.69,21428.00,14.41,2419,2086,32,2406
Morgan,Tennessee,522.18,21403.00,40.99,1646,2348,38,2728
Willacy,Texas,590.55,21358.00,36.17,1768,2523,84,3363
Yell,Arkansas,929.98,21341.00,22.95,2129,3400,63,4030
Fayette,Illinois,716.48,21336.00,29.78,1930,3078,57,3648
Allen,Kentucky,344.34,21315.00,61.90,1278,1875,31,2185
McDuffie,Georgia,282.31,21312.00,75.49,1108,2357,43,2787
Calhoun,Texas,506.84,21290.00,42.01,1624,2101,20,2301
Jo Daviess,Illinois,601.09,21235.00,35.33,1794,1634,25,1884
Buchanan,Iowa,571.02,21175.00,37.08,1744,1818,30,2118
Meriwether,Georgia,501.22,21167.00,42.23,1615,1899,69,2589
La Paz,Arizona,4499.63,21108.00,4.69,2789,2428,74,3168
St. James,Louisiana,241.54,21096.00,87.34,995,1885,49,2375
Greene,North Carolina,265.93,21069.00,79.23,1058,2170,42,2590
Fillmore,Minnesota,861.30,21067.00,24.46,2083,1447,9,1537
Minidoka,Idaho,757.59,21039.00,27.77,1991,2304,32,2624
Newton,Mississippi,578.10,21018.00,36.36,1761,2394,54,2934
Buchanan,Virginia,502.76,21004.00,41.78,1629,1338,36,1698
Ogemaw,Michigan,563.49,20997.00,37.26,1737,1142,34,1482
Moore,Texas,899.69,20940.00,23.27,2120,2268,69,2958
Hutchinson,Texas,887.42,20938.00,23.59,2109,1566,71,2276
Dodge,Minnesota,439.28,20934.00,47.66,1504,1582,4,1622
Perry,Illinois,441.76,20916.00,47.35,1510,3098,68,3778
Barnwell,South Carolina,548.39,20866.00,38.05,1719,2454,52,2974
Conway,Arkansas,552.25,20846.00,37.75,1727,2175,31,2485
Gonzales,Texas,1066.69,20837.00,19.53,2257,2663,55,3213
Owen,Indiana,385.29,20799.00,53.98,1389,1870,57,2440
Grenada,Mississippi,422.11,20758.00,49.18,1469,2521,80,3321
Monroe,Alabama,1025.68,20733.00,20.21,2233,1691,39,2081
Washington,Nebraska,389.96,20729.00,53.16,1403,2046,21,2256
Polk,North Carolina,237.79,20724.00,87.15,997,1389,27,1659
Stutsman,North Dakota,2221.72,20704.00,9.32,2595,3319,79,4109
Jones,Iowa,575.62,20681.00,35.93,1777,2878,55,3428
Sullivan,Indiana,447.14,20669.00,46.22,1533,2056,41,2466
Jackson,Wisconsin,987.72,20643.00,20.90,2209,2633,27,2903
Morgan,Missouri,597.63,20627.00,34.51,1816,1699,42,2119
Dodge,Georgia,495.89,20605.00,41.55,1632,2090,101,3100
Vernon,Missouri,826.40,20563.00,24.88,2067,1921,40,2321
DeKalb,Tennessee,304.35,20490.00,67.32,1204,2701,52,3221
Breckinridge,Kentucky,567.17,20477.00,36.10,1772,1133,12,1253
Saluda,South Carolina,452.78,20473.00,45.22,1562,1681,48,2161
Carbon,Utah,1478.49,20463.00,13.84,2435,1566,13,1696
Jay,Indiana,383.91,20436.00,53.23,1400,1824,30,2124
Kewaunee,Wisconsin,342.52,20434.00,59.66,1301,2601,30,2901
Lincoln,West Virginia,437.04,20409.00,46.70,1525,1325,19,1515
Wyoming,West Virginia,499.45,20394.00,40.83,1656,1786,38,2166
Clinton,Missouri,418.96,20387.00,48.66,1479,2028,65,2678
Washington,Georgia,678.45,20374.00,30.03,1925,2107,77,2877
Chaffee,Colorado,1013.40,20356.00,20.09,2236,1484,24,1724
Taylor,Wisconsin,974.88,20343.00,20.87,2212,2037,31,2347
Wayne,Kentucky,458.17,20333.00,44.38,1582,2134,44,2574
Frio,Texas,1133.50,20306.00,17.91,2312,2714,47,3184
Spencer,Indiana,396.74,20277.00,51.11,1433,2237,31,2547
Carroll,Indiana,372.22,20257.00,54.42,1378,1791,21,2001
Worth,Georgia,570.70,20247.00,35.48,1788,1720,65,2370
Uinta,Wyoming,2081.26,20226.00,9.72,2576,2103,12,2223
Adams,Wisconsin,645.65,20220.00,31.32,1889,1773,15,1923
Woodward,Oklahoma,1242.40,20211.00,16.27,2360,3114,20,3314
Wayne,Mississippi,810.75,20183.00,24.89,2064,2600,41,3010
Carroll,Iowa,569.44,20165.00,35.41,1790,2713,49,3203
DeWitt,Texas,908.98,20160.00,22.18,2166,1897,58,2477
Smith,Tennessee,314.29,20157.00,64.14,1246,2635,36,2995
Lavaca,Texas,969.71,20154.00,20.78,2217,2350,73,3080
Richland,Louisiana,559.04,20122.00,35.99,1773,2375,51,2885
Jones,Texas,928.55,20083.00,21.63,2183,2734,53,3264
Dakota,Nebraska,264.26,20026.00,75.78,1105,3951,67,4621
Franklin,Louisiana,624.59,20015.00,32.05,1867,2460,104,3500
Winneshiek,Iowa,689.87,19991.00,28.98,1954,1870,31,2180
Texas,Oklahoma,2041.26,19983.00,9.79,2573,3473,25,3723
Adams,Washington,1924.98,19983.00,10.38,2555,1956,22,2176
Lincoln,Montana,3612.92,19980.00,5.53,2750,1521,13,1651
Fulton,Indiana,368.39,19974.00,54.22,1383,1843,39,2233
Union,Tennessee,223.55,19972.00,89.34,975,1790,34,2130
Polk,Arkansas,857.68,19964.00,23.28,2119,1953,68,2633
Henry,Iowa,434.33,19954.00,45.94,1543,2818,37,3188
Cherokee,Kansas,587.57,19939.00,33.93,1827,2398,16,2558
Duchesne,Utah,3240.95,19938.00,6.15,2724,1217,9,1307
Pickens,Alabama,881.41,19930.00,22.61,2148,2319,57,2889
Clay,Kentucky,469.25,19901.00,42.41,1611,2547,33,2877
Lincoln,Wyoming,4076.13,19830.00,4.86,2783,1303,12,1423
Greene,Virginia,156.25,19819.00,126.84,754,1071,15,1221
Montague,Texas,930.91,19818.00,21.29,2197,2040,68,2720
Bourbon,Kentucky,289.72,19788.00,68.30,1195,1610,13,1740
Davison,South Dakota,435.56,19775.00,45.40,1554,3029,67,3699
Warren,North Carolina,428.46,19731.00,46.05,1540,1668,18,1848
Freestone,Texas,877.74,19717.00,22.46,2159,1788,48,2268
Martin,Minnesota,1775.07,19683.00,11.09,2535,1979,29,2269
Ashley,Arkansas,925.35,19657.00,21.24,2198,1878,33,2208
Fayette,Iowa,730.81,19650.00,26.89,2016,1807,37,2177
Orange,Indiana,398.39,19646.00,49.31,1467,1732,55,2282
Buena Vista,Iowa,574.92,19620.00,34.13,1823,4166,38,4546
Labette,Kansas,645.30,19618.00,30.40,1915,2693,49,3183
Holmes,Florida,478.78,19617.00,40.97,1648,2206,45,2656
McIntosh,Oklahoma,655.39,19596.00,29.90,1927,1951,38,2331
Lincoln,New Mexico,4831.09,19572.00,4.05,2829,1576,17,1746
Long,Georgia,400.29,19559.00,48.86,1477,823,11,933
Northampton,North Carolina,536.59,19483.00,36.31,1762,1764,39,2154
Pierce,Georgia,316.49,19465.00,61.50,1285,2368,54,2908
Douglas,Illinois,416.67,19465.00,46.72,1523,2510,40,2910
Butler,Alabama,776.83,19448.00,25.04,2059,2072,66,2732
Benton,Missouri,704.06,19443.00,27.62,1996,1644,27,1914
Jackson,Iowa,636.04,19439.00,30.56,1910,2126,40,2526
Kent,Maryland,277.03,19422.00,70.11,1174,1221,44,1661
Berrien,Georgia,451.90,19397.00,42.92,1605,1774,41,2184
Tishomingo,Mississippi,424.25,19383.00,45.69,1551,2161,67,2831
Los Alamos,New Mexico,109.17,19369.00,177.42,593,494,6,554
Spencer,Kentucky,186.68,19351.00,103.66,866,1545,15,1695
Clay,Mississippi,410.08,19316.00,47.10,1517,1809,54,2349
Morgan,Georgia,347.35,19276.00,55.49,1359,2107,24,2347
Marion,Kentucky,252.47,19273.00,76.34,1094,2189,34,2529
Concordia,Louisiana,696.92,19259.00,27.63,1995,1803,60,2403
Banks,Georgia,232.09,19234.00,82.87,1026,1761,34,2101
Hampton,South Carolina,559.90,19222.00,34.33,1818,1793,46,2253
Adair,Kentucky,405.28,19202.00,47.38,1508,1746,52,2266
Elbert,Georgia,351.06,19194.00,54.67,1372,2260,64,2900
Langlade,Wisconsin,870.64,19189.00,22.04,2169,2100,44,2540
Perry,Indiana,381.73,19169.00,50.22,1447,1766,37,2136
Perry,Missouri,474.35,19136.00,40.34,1666,2149,29,2439
East Feliciana,Louisiana,453.41,19135.00,42.20,1616,3061,110,4161
Brantley,Georgia,442.36,19109.00,43.20,1600,1553,33,1883
Lamar,Georgia,183.50,19077.00,103.96,864,1936,53,2466
Jefferson,Kansas,532.57,19043.00,35.76,1783,1643,32,1963
Hart,Kentucky,412.09,19035.00,46.19,1536,1882,43,2312
Pike,Georgia,216.09,18962.00,87.75,991,2134,34,2474
Bertie,North Carolina,699.27,18947.00,27.10,2012,1686,41,2096
Green Lake,Wisconsin,349.44,18913.00,54.12,1387,1958,21,2168
Harrison,Kentucky,306.36,18886.00,61.65,1283,1568,17,1738
Marengo,Alabama,976.88,18863.00,19.31,2271,2484,58,3064
Park,Colorado,2193.85,18845.00,8.59,2624,582,5,632
Plumas,California,2553.04,18807.00,7.37,2679,650,4,690
Andrews,Texas,1500.71,18705.00,12.46,2486,1710,47,2180
Bosque,Texas,982.98,18685.00,19.01,2280,1621,33,1951
Paulding,Ohio,416.44,18672.00,44.84,1570,1645,36,2005
Crawford,Illinois,443.63,18667.00,42.08,1620,2028,40,2428
Covington,Mississippi,413.79,18636.00,45.04,1566,2524,80,3324
Cedar,Iowa,579.44,18627.00,32.15,1863,1760,23,1990
Waseca,Minnesota,423.36,18612.00,43.96,1587,2150,19,2340
Houston,Minnesota,552.06,18600.00,33.69,1829,1597,14,1737
Gilchrist,Florida,349.68,18582.00,53.14,1404,1464,37,1834
Humphreys,Tennessee,530.98,18582.00,35.00,1797,1589,21,1799
Simpson,Kentucky,234.20,18572.00,79.30,1056,1830,31,2140
Deaf Smith,Texas,1496.87,18546.00,12.39,2494,2746,64,3386
Fentress,Tennessee,498.61,18523.00,37.15,1742,2328,45,2778
Poweshiek,Iowa,584.93,18504.00,31.63,1880,1507,31,1817
Roosevelt,New Mexico,2447.43,18500.00,7.56,2670,1855,52,2375
Madison,Florida,695.95,18493.00,26.57,2026,2028,43,2458
Dickinson,Kansas,847.07,18466.00,21.80,2177,1704,37,2074
Beadle,South Dakota,1258.71,18453.00,14.66,2409,2840,39,3230
Burleson,Texas,659.03,18443.00,27.99,1985,2278,38,2658
Bethel Census Area,Alaska,40570.00,18386.00,0.45,3120,3685,20,3885
Appling,Georgia,507.08,18386.00,36.26,1765,2240,67,2910
Eastland,Texas,926.49,18360.00,19.82,2249,1316,45,1766
Stone,Mississippi,445.49,18336.00,41.16,1642,1760,30,2060
Greene,Georgia,387.44,18324.00,47.30,1514,1770,54,2310
Pike,Missouri,670.44,18302.00,27.30,2009,1762,23,1992
Jefferson,Iowa,435.51,18295.00,42.01,1623,1293,35,1643
Wright,Missouri,681.77,18289.00,26.83,2017,1551,29,1841
Otero,Colorado,1261.96,18278.00,14.48,2417,1875,63,2505
Grant,Arkansas,631.81,18265.00,28.91,1957,1625,32,1945
Radford city,Virginia,9.87,18249.00,1848.94,72,1960,18,2140
Montour,Pennsylvania,130.24,18230.00,139.97,710,1801,60,2401
